Type,Sex,Speaker,Vowel,IPA,F0,F1,F2,F3
m,m,1,iy,i,160,240,2280,2850
m,m,1,iy,i,186,280,2400,2790
m,m,1,ih,\ic,203,390,2030,2640
m,m,1,ih,\ic,192,310,1980,2550
m,m,1,eh,\ef,161,490,1870,2420
m,m,1,eh,\ef,155,570,1700,2600
m,m,1,ae,\ae,140,560,1820,2660
m,m,1,ae,\ae,180,630,1700,2550
m,m,1,ah,\vt,144,590,1250,2620
m,m,1,ah,\vt,148,620,1300,2530
m,m,1,aa,\as,148,740,1070,2490
m,m,1,aa,\as,170,800,1060,2640
m,m,1,ao,\ct,161,600,970,2280
m,m,1,ao,\ct,158,660,980,2220
m,m,1,uh,\hs,163,440,1120,2210
m,m,1,uh,\hs,190,400,1070,2280
m,m,1,uw,u,160,240,1040,2150
m,m,1,uw,u,157,270,930,2280
m,m,1,er,\er\hr,177,370,1520,1670
m,m,1,er,\er\hr,164,460,1330,1590
m,m,2,iy,i,147,220,2220,2910
m,m,2,iy,i,148,210,2360,3250
m,m,2,ih,\ic,141,410,1890,2680
m,m,2,ih,\ic,139,420,1850,2500
m,m,2,eh,\ef,136,500,1760,2590
m,m,2,eh,\ef,135,510,1710,2380
m,m,2,ae,\ae,128,690,1610,2560
m,m,2,ae,\ae,131,700,1690,2580
m,m,2,ah,\vt,140,650,1080,2420
m,m,2,ah,\vt,125,625,1060,2490
m,m,2,aa,\as,140,650,1040,2450
m,m,2,aa,\as,136,670,1100,2430
m,m,2,ao,\ct,149,580,580,2470
m,m,2,ao,\ct,140,560,560,2410
m,m,2,uh,\hs,145,450,940,1910
m,m,2,uh,\hs,141,410,830,2240
m,m,2,uw,u,140,280,650,3300
m,m,2,uw,u,137,260,660,3300
m,m,2,er,\er\hr,145,510,1210,1570
m,m,2,er,\er\hr,145,510,1130,1510
m,m,3,iy,i,105,250,2180,2680
m,m,3,iy,i,111,244,2300,2780
m,m,3,ih,\ic,100,400,1930,2610
m,m,3,ih,\ic,104,400,1990,2700
m,m,3,eh,\ef,100,550,1810,2500
m,m,3,eh,\ef,95,540,1810,2480
m,m,3,ae,\ae,93,630,1710,2400
m,m,3,ae,\ae,94,658,1755,2305
m,m,3,ah,\vt,100,600,1200,2320
m,m,3,ah,\vt,105,612,1160,2350
m,m,3,aa,\as,91,640,1080,2140
m,m,3,aa,\as,94,720,1090,2230
m,m,3,ao,\ct,92,550,870,2300
m,m,3,ao,\ct,120,540,840,2280
m,m,3,uh,\hs,114,460,1150,2290
